candidate_id,repo_name,repo_url,paper_title,paper_url,benchmark_family,task_candidates,algorithm_family,language_framework,license,last_commit_or_release,install_doc_quality,dataset_access_method,sparse_reward_evidence,zero_reward_transition_evidence,replay_or_sampler_hook,baseline_algorithms_available,expected_modification_files,smoke_test_entrypoint,estimated_install_risk,estimated_compute_risk,scientific_fit_0_5,implementation_health_0_5,dataset_benchmark_fit_0_5,modification_surface_0_5,smoke_test_feasibility_0_5,baseline_fairness_0_5,reviewer_risk_0_5,license_reproducibility_0_5,total_score_40,hard_veto_flag,hard_veto_reason,notes
C001,OGBench,https://github.com/seohongpark/ogbench,OGBench: Benchmarking Offline Goal-Conditioned RL,https://seohong.me/projects/ogbench/,OGBench,humanoidmaze-large-navigate-v0; antmaze-large-navigate-v0; cube/scene/puzzle/powderworld tasks,offline goal-conditioned RL benchmark plus JAX reference implementations,Python; JAX; Gymnasium; MuJoCo,MIT,local shallow clone latest commit 2026-01-14,PyPI install documented; minimal API in README,ogbench.make_env_and_datasets downloads train and val datasets,README states reward is 1 if goal reached and 0 otherwise,Likely many zero-reward transitions by sparse success reward; exact ratio not yet measured,impls/utils/datasets.py Dataset.sample and GCDataset.sample; impls/main.py train_dataset.sample,GCBC; GCIVL; GCIQL; QRL; CRL; HIQL,impls/utils/datasets.py; impls/main.py; possible sampler wrapper around Dataset.sample,Import ogbench; make env_only; optionally load small dataset,medium: MuJoCo/dm_control dependencies,medium: dataset download can be large; choose small state task first,5,5,5,4,4,4,4,5,36,false,,Top Round B candidate. Best fit for genuine sparse 1/0 reward and reviewer-credible new route. Pro Round C note: benchmark-first; standard offline RL implementation gap.
C002,horizon-reduction,https://github.com/seohongpark/horizon-reduction,Horizon Reduction Makes RL Scalable,https://github.com/seohongpark/horizon-reduction,OGBench large offline goal-conditioned RL,puzzle-4x5; cube-octuple; humanoidmaze-giant; oraclerep variants,offline goal-conditioned algorithms including IQL and hierarchical methods,Python; JAX; OGBench,MIT,local shallow clone latest commit 2025-08-01,README install and commands documented,OGBench datasets; 100M and 1B dataset paths documented,OGBench-style goal tasks; README inherits sparse goal-conditioned setting,Likely many zero-reward transitions; exact ratio not yet measured,utils/datasets.py and main.py dataset sampling; agents consume sampled batches,Flow BC; IQL; CRL; SAC+BC; FQL; HIQL; SHARSA,utils/datasets.py; main.py; agents/*.py sampler/batch path,Import dependencies; run main.py with tiny/small OGBench dataset only if available,medium-high: JAX and OGBench deps,high: default paper route emphasizes 100M/1B data,4,4,5,4,2,4,4,5,32,false,,Strong science fit but smoke risk is dataset scale. Good backup if Pro wants OGBench-heavy route.
C003,CORL,https://github.com/tinkoff-ai/CORL,CORL: Research-oriented Deep Offline Reinforcement Learning Library,https://openreview.net/forum?id=SyAS49bBcv,D4RL,AntMaze; Maze2D; Adroit; Kitchen; Gym-MuJoCo,CleanRL-style offline RL implementations,Python; PyTorch; D4RL,Apache-2.0,local shallow clone latest commit 2023-08-01,requirements and Docker documented,gym/d4rl qlearning_dataset inside single-file algorithms,README reports AntMaze and Maze2D benchmark tables; AntMaze sparse success tasks,Zero-reward ratio not measured; D4RL AntMaze sparse structure expected,algorithms/offline/*.py and finetune/*.py define ReplayBuffer.load_d4rl_dataset and sample,CQL; IQL; TD3+BC; AWAC; BC; EDAC; ReBRAC; DT; Cal-QL,algorithms/offline/iql.py or cql.py ReplayBuffer.sample; configs/antmaze,Install requirements; import one algorithm; load d4rl qlearning_dataset if env deps exist,medium-high: D4RL/mujoco_py fragility,medium: AntMaze data load but no training for smoke,4,3,4,5,3,5,4,5,33,false,,Best CleanRL-style codebase for R2V sampler patch if Pro accepts D4RL legacy risk. Pro Round C note: D4RL legacy risk; dummy replay smoke required before D4RL.
C004,OfflineRL-Kit,https://github.com/yihaosun1124/OfflineRL-Kit,OfflineRL-Kit: An Elegant PyTorch Offline Reinforcement Learning Library,https://github.com/yihaosun1124/OfflineRL-Kit,D4RL,Gym-MuJoCo medium/replay/expert; possible D4RL tasks via qlearning_dataset,offline RL library,Python; PyTorch; D4RL,MIT,local shallow clone latest commit 2026-05-01,README setup and quick start documented,qlearning_dataset(env) then ReplayBuffer.load_dataset,README benchmark table focuses MuJoCo replay/expert datasets; sparse task evidence weaker than OGBench/CORL,Zero-reward structure not established for listed MuJoCo tasks,offlinerlkit/buffer/buffer.py ReplayBuffer.load_dataset and sample,CQL; TD3+BC; IQL; EDAC; MCQ; MOPO; COMBO; RAMBO; MOBILE,offlinerlkit/buffer/buffer.py; policy_trainer/*; run_example/run_iql.py or run_cql.py,Install package; create dummy ReplayBuffer; maybe load small D4RL if available,medium-high: D4RL/mujoco-py requirement in README,medium,3,4,3,5,3,4,3,5,30,false,,"Very clear sampler hook and recent repo, but sparse reward benchmark fit needs Pro audit. Pro Round C note: second-wave only."
C005,d3rlpy,https://github.com/takuseno/d3rlpy,d3rlpy: An Offline Deep Reinforcement Learning Library,https://arxiv.org/abs/2111.03788,D4RL; Atari; generic offline RL datasets,D4RL locomotion; Atari transitions; custom MDPDataset; possible AntMaze via D4RL,offline RL library,Python; PyTorch,MIT,local shallow clone latest commit 2025-09-11,PyPI; conda; Docker documented,d3rlpy.datasets.get_d4rl; get_dataset; MDPDataset; ReplayBuffer,README supports offline RL but sparse reward evidence is indirect unless paired with AntMaze/Minari,Zero-reward ratio not established in README,d3rlpy/dataset/replay_buffer.py; sample_transition_batch in qlearning base,CQL; IQL; TD3+BC; BCQ; BEAR; AWAC; CRR; ReBRAC; DT; QDT,d3rlpy/dataset/*; qlearning base sampling path,pip install d3rlpy; create MDPDataset; call sample_transition_batch,low-medium: package install likely easy; torch version matters,low for import/dummy dataset; medium for D4RL,3,5,3,4,5,4,3,5,32,false,,Strong engineering substrate; scientific fit depends on connecting to sparse benchmark cleanly.
C006,TorchRL,https://github.com/pytorch/rl,TorchRL: A data-driven decision-making library for PyTorch,https://arxiv.org/abs/2306.00577,generic RL library plus Minari offline data,Minari Adroit tutorial; custom offline datasets; HER/sparse online tasks,modular RL primitives and replay buffers,Python; PyTorch; TensorDict,MIT,local shallow clone latest commit 2026-06-09,PyPI docs and tutorials documented,TorchRL replay buffers; MinariExperienceReplay; Minari IQL tutorial,Sparse reward evidence depends on paired Minari/OGBench task; library itself is generic,Zero-reward ratio not established; can preserve dataset rewards,torchrl.data ReplayBuffer; TensorDictReplayBuffer; PrioritizedSampler; set_sampler,IQL tutorial; loss modules; replay buffer primitives; HER support,torchrl/data/replay_buffers/*; custom sampler or transform,pip install torchrl; instantiate TensorDictReplayBuffer; sample dummy Minari-style data,low-medium: modern package but version compatibility matters,low for buffer smoke; medium for full offline task,3,5,4,5,5,3,3,5,33,false,,Best modern engineering substrate. Pro Round C note: substrate-first; needs sparse dataset pairing before paper-story use.
C007,Minari,https://github.com/Farama-Foundation/Minari,Minari offline RL dataset library,https://minari.farama.org/main/,Minari datasets; migrated D4RL datasets,D4RL/door/human-v2; pointmaze; community datasets,"offline dataset standard, not algorithm",Python; Gymnasium,MIT-compatible per pyproject; repository license has Farama asset notes,local shallow clone latest commit 2026-05-29,PyPI install and CLI documented,minari list/download/load_dataset; iterate_episodes,Dataset layer only; sparse evidence depends on chosen dataset such as Adroit/pointmaze,Can inspect rewards in loaded datasets; not yet measured,No training sampler by itself; can combine with TorchRL MinariExperienceReplay,Integrates with TorchRL and d3rlpy per README,Use as dataset layer with TorchRL/d3rlpy; not standalone algorithm,pip install minari; minari list remote; load tiny dataset if available,low-medium,low for CLI/list; medium for dataset download,3,5,4,2,5,2,3,5,29,false,,"Useful dataset substrate, not standalone final codebase. Pro Round C note: substrate-first dataset layer; needs sparse dataset pairing."
C008,D4RL,https://github.com/Farama-Foundation/D4RL,D4RL: Datasets for Deep Data-Driven Reinforcement Learning,https://openreview.net/forum?id=px0-N3_KjA,D4RL,AntMaze; Maze2D; Kitchen; Adroit; Gym-MuJoCo,offline RL benchmark,Python; Gym; MuJoCo,Apache-2.0,local shallow clone latest commit 2024-11-18,Install documented but README says datasets moved to Minari,d4rl.qlearning_dataset and env.get_dataset,AntMaze and Maze2D are standard sparse/offline navigation tasks,Zero-reward ratio not measured; AntMaze/Maze2D sparse tasks expected,Benchmark only; scripts/dataset_utils; no algorithm sampler,External algorithms required,Use only as benchmark layer through CORL/OfflineRL-Kit/IQL,Import d4rl; make antmaze env if dependencies work,high: legacy gym/mujoco_py fragility; migration warning,medium,4,2,4,1,2,4,2,5,24,false,,"Important benchmark anchor, but Pro should prefer Minari/OGBench where possible."
C009,OPER,https://github.com/sail-sg/OPER,Offline Prioritized Experience Replay,https://github.com/sail-sg/OPER,D4RL,D4RL MuJoCo; Kitchen; Pen; case-study algorithms,offline prioritized replay / data rebalancing,Python; PyTorch; D4RL,Apache-2.0,local shallow clone latest commit 2023-06-13,README usage documented; small codebase,D4RL qlearning_dataset in main.py; custom ReplayBuffer.convert_D4RL,D4RL includes sparse-ish Kitchen/Pen; README is not primarily sparse-reward framed,Zero-reward ratio not measured,utils.py ReplayBuffer.sample; PrefetchBalancedSampler; replace_weights; reweight/resample flags,BC; TD3+BC; OneStep RL; CQL; IQL case studies,utils.py; main.py; advantage.py,Import utils; instantiate ReplayBuffer with dummy data; avoid full weight training,medium: D4RL deps; small repo,medium: weight generation can be long; smoke can be dummy,4,2,4,5,3,3,4,5,30,false,,"Closest neighbor baseline for priority/reweighting. Pro Round C note: adversarial baseline / contrast, not main route."
C010,SynthER,https://github.com/conglu1997/synther,Synthetic Experience Replay,https://arxiv.org/abs/2303.06614,D4RL plus online DMC/OpenAI Gym,HalfCheetah medium-replay; D4RL AntMaze yaml present; online DMC,diffusion-based synthetic experience replay,Python; PyTorch; CORL-derived code,MIT,local shallow clone latest commit 2026-04-16,README setup and run commands documented; submodules required,CORL-derived D4RL algorithms and diffusion samples,Not primarily sparse-reward; AntMaze configs exist but generation is central,Zero-reward ratio not measured,synther/corl/shared/buffer.py and algorithms; diffusion insertion path,SAC; TD3+BC; IQL; EDAC; CQL,Boundary only: do not use as final evidence route,No smoke unless Pro asks boundary test; import only,"medium-high: submodules, MuJoCo, wandb",medium-high for diffusion,2,4,3,4,2,3,1,5,24,true,Primary route veto: generative replay/diffusion cannot be final evidence under project constraints.,Keep as boundary method and baseline-literature contrast.
C011,implicit_q_learning,https://github.com/ikostrikov/implicit_q_learning,Offline Reinforcement Learning with Implicit Q-Learning,https://arxiv.org/abs/2110.06169,D4RL,AntMaze; Kitchen; Adroit; MuJoCo locomotion,official IQL implementation,Python; JAX; D4RL,MIT,local shallow clone latest commit 2022-01-23,requirements and run commands documented,d4rl.qlearning_dataset in dataset_utils.py,README has AntMaze training command,Zero-reward ratio not measured; AntMaze sparse expected,dataset_utils.py Dataset.sample and ReplayBuffer; train_offline.py uses dataset.sample,IQL only; finetune path,dataset_utils.py; train_offline.py; train_finetune.py,Install requirements; instantiate Dataset; avoid full training,high: older JAX and D4RL stack,medium,4,2,4,4,2,3,4,5,28,false,,"Good simple baseline and R2V insertion demo, but older stack and single algorithm."
C012,PG,https://github.com/ku-dmlab/PG,Prior-Guided Diffusion Planning for Offline Reinforcement Learning,https://proceedings.neurips.cc/paper_files/paper/2025/hash/564ba85813598013a4b6c2317b79cffb-Abstract-Conference.html,D4RL,AntMaze; Maze2D; Kitchen; MuJoCo,diffusion planning / generative planner,Python; JAX; D4RL,MIT,local shallow clone latest commit 2025-10-24,README and requirements present,D4RL env.get_dataset in dataset classes,AntMaze/Maze2D dataset classes inspect rewards and terminal success,Zero-reward handling visible in dataset classes; not measured,dataset/*.py has sample methods for sequence datasets,"Diffusion planner baselines, not replay baselines",Boundary only; do not replace replay route,Import dataset class only if D4RL deps available,medium-high: D4RL and JAX stack,medium-high,2,4,4,2,2,3,3,5,25,true,Primary route veto: diffusion planning generates high-value trajectories rather than testing replay sampling.,Useful boundary for generative planning literature and reviewer contrast.
C013,stable-baselines3,https://github.com/DLR-RM/stable-baselines3,Stable-Baselines3: Reliable RL Implementations in PyTorch,https://jmlr.org/papers/v22/20-1364.html,Gymnasium robotics / online sparse tasks,HER sparse goal tasks; custom Gymnasium sparse tasks,online RL library with replay buffers and HER,Python; PyTorch; Gymnasium,MIT,local shallow clone latest commit 2026-05-11,PyPI install and docs documented,online env interaction; replay buffer save/load; HER replay,HER and sparse goal examples documented; not offline RL by default,"Zero-reward transitions occur in sparse envs but generated online, not offline replay dataset",stable_baselines3/common/buffers.py; stable_baselines3/her/her_replay_buffer.py,SAC; TD3; DQN; HER; off-policy algorithms,HerReplayBuffer or ReplayBuffer subclass; custom callback,pip install stable-baselines3; instantiate HerReplayBuffer with dummy env,low,low for dummy buffer; high for full task,3,5,2,4,5,3,2,5,29,false,,"Good engineering fallback for replay mechanics, but weaker scientific fit for offline R2V."
